,weights,Weight_%
ICICIBANK,0.12779817622743836,12.78
MARUTI,0.12181128740541472,12.18
TCS,0.09939333308814859,9.94
HDFCBANK,0.09780568699252765,9.78
RELIANCE,0.0963095377940974,9.63
INFY,0.08444850142280841,8.44
SBIN,0.08427915506246647,8.43
LT,0.07167812675785169,7.17
BAJFINANCE,0.06223355768961645,6.22
BEL,0.04232805531776886,4.23
TATASTEEL,0.04090076665611303,4.09
TMPV,0.03707658689222668,3.71
HINDALCO,0.0339372286935217,3.39
