"Trades Count","Win Rate %","Iteration"
"143","52.45","321"
"143","52.45","322"
"143","49.31","323"
"143","49.31","324"
"143","51.75","325"
"143","51.75","326"
"143","52.45","327"
"143","52.45","328"
"143","52.08","329"
"143","52.08","330"
"143","52.45","331"
"143","52.45","332"
"143","50","333"
"143","50","334"
"143","51.05","335"
"143","51.05","336"
"143","52.08","337"
"143","52.08","338"
"143","48.25","339"
"143","48.25","340"
"143","51.75","341"
"143","51.75","342"
"143","51.05","343"
"0","51.05","344"
"143","51.05","345"
"143","51.05","346"
"143","51.75","347"
"143","51.75","348"
"143","51.75","349"
"143","51.75","350"
"143","48.95","351"
"143","48.95","352"
"143","52.45","353"
"143","52.45","354"
"143","0","355"
"143","0","356"
"143","47.92","357"
"143","47.92","358"
"143","51.05","359"
"143","51.05","360"
"143","52.45","361"
"143","52.45","362"
"143","51.75","363"
"143","51.75","364"
"143","52.45","365"
"143","52.45","366"
"143","51.75","367"
"1","51.75","368"
"143","51.75","369"
"143","51.75","370"
"143","51.05","371"
"143","51.05","372"
"143","52.45","373"
"143","52.45","374"
"143","51.75","375"
"143","51.75","376"
"143","52.45","377"
"143","52.45","378"
"143","51.39","379"
"143","51.39","380"
"143","51.75","381"
"143","51.75","382"
"143","52.45","383"
"143","52.45","384"
"143","52.45","385"
"143","52.45","386"
"143","52.45","387"
"143","52.45","388"
"0","52.45","389"
"143","52.45","390"
"143","51.75","391"
"143","51.75","392"
"143","48.25","393"
"143","48.25","394"
"143","51.75","395"
"143","51.75","396"
"143","51.39","397"
"143","51.39","398"
"143","51.75","399"
"143","51.75","400"
"143","51.75","401"
"143","51.75","402"
"143","0","403"
"143","0","404"
"143","49.65","405"
"143","49.65","406"
"143","51.75","407"
"143","51.75","408"
"143","51.75","409"
"143","51.75","410"
"143","51.75","411"
"143","51.75","412"
"1","52.08","413"
"143","52.08","414"
"143","51.75","415"
"143","51.75","416"
"143","48.95","417"
"143","48.95","418"
"143","51.05","419"
"143","51.05","420"
"143","52.08","421"
"143","52.08","422"
"143","51.75","423"
"143","51.75","424"
"143","51.75","425"
"143","51.75","426"
"143","52.45","427"
"143","52.45","428"
"143","51.05","429"
"143","51.05","430"
"143","48.95","431"
"143","48.95","432"
"143","48.25","433"
"143","48.25","434"
"143","51.05","435"
"0","51.05","436"
"143","51.75","437"
"143","51.75","438"
"143","52.45","439"
"143","52.45","440"
"143","47.92","441"
"143","47.92","442"
"143","50","443"
"143","50","444"
"143","52.45","445"
"143","52.45","446"
"143","51.39","447"
"143","51.39","448"
"143","51.05","449"
"143","51.05","450"
"143","0","451"
"143","0","452"
"143","51.75","453"
"143","51.75","454"
"143","52.45","455"
"143","52.45","456"
"143","51.75","457"
"143","51.75","458"
"143","51.75","459"
"0","51.75","460"
"143","48.25","461"
"143","48.25","462"
"143","51.05","463"
"143","51.05","464"
"143","51.05","465"
"143","51.05","466"
"143","51.75","467"
"143","51.75","468"
"143","50.69","469"
"143","50.69","470"
"143","51.05","471"
"143","51.05","472"
"143","52.45","473"
"143","52.45","474"
"143","50","475"
"143","50","476"
"143","52.08","477"
"143","52.08","478"
"143","51.39","479"
"143","51.39","480"
"143","51.05","481"
"143","51.05","482"
"0","51.39","483"
"143","51.39","484"
"143","0","485"
"143","52.45","486"
"143","52.45","487"
"143","0","488"
"143","0","489"
"143","52.45","490"
"143","52.45","491"
"143","0","492"
"143","0","493"
"143","0","494"
"143","51.05","495"
"143","51.05","496"
"143","0","497"
"143","0","498"
"143","52.45","499"
"143","52.45","500"
"143","0","501"
"143","0","502"
"143","52.45","503"
"143","52.45","504"
"143","52.45","505"
"143","52.45","506"
"143","52.45","507"
"143","52.45","508"
"0","52.45","509"
"143","52.45","510"
"143","0","511"
"143","0","512"
"143","51.39","513"
"143","51.39","514"
"143","51.75","515"
"143","51.75","516"
"143","49.65","517"
"143","49.65","518"
"143","52.45","519"
"143","52.45","520"
"143","51.75","521"
"143","51.75","522"
"143","52.08","523"
"143","52.08","524"
"143","52.45","525"
"143","52.45","526"
"143","50.69","527"
"143","50.69","528"
"143","51.75","529"
"143","51.75","530"
"0","52.45","531"
"143","52.45","532"
"143","51.75","533"
"143","51.75","534"
"143","51.75","535"
"143","51.75","536"
"143","52.45","537"
"143","52.45","538"
"143","51.39","539"
"143","51.39","540"
"143","51.39","541"
"143","51.39","542"
"143","50.69","543"
"143","50.69","544"
"143","52.45","545"
"143","52.45","546"
"143","52.45","547"
"143","52.45","548"
"143","51.75","549"
"143","51.75","550"
"143","51.75","551"
"0","51.75","552"
"0","51.75","553"
"1","51.75","554"
"1","51.75","555"
"1","51.75","556"
"0","0","557"
"0","0","558"
"0","52.45","559"
"0","52.45","560"
"1","51.75","561"
"0","51.75","562"
"1","52.45","563"
"1","52.45","564"
"1","52.45","565"
"0","52.45","566"
"1","51.75","567"
"0","51.75","568"
"0","52.45","569"
"0","52.45","570"
"1","52.45","571"
"0","52.45","572"
"0","52.45","573"
"0","52.45","574"
"0","51.75","575"
"0","51.75","576"
"0","52.45","577"
"0","52.45","578"
"0","52.45","579"
"0","52.45","580"
"1","52.45","581"
"0","52.45","582"
"0","52.45","583"
"0","52.45","584"
"1","52.45","585"
"1","52.45","586"
"1","51.75","587"
"1","51.75","588"
"1","52.45","589"
"1","52.45","590"
"1","51.05","591"
"1","51.05","592"
"1","52.45","593"
"1","52.45","594"
"1","52.45","595"
"1","52.45","596"
"1","52.45","597"
"1","52.45","598"
"1","52.45","599"
"1","52.45","600"
"1","52.45","601"
"1","52.45","602"
"1","0","603"
"1","0","604"
"1","51.75","605"
"1","51.75","606"
"1","52.45","607"
"1","52.45","608"
"1","51.75","609"
"1","51.75","610"
"1","51.75","611"
"1","51.75","612"
"1","51.75","613"
"1","51.75","614"
"1","52.45","615"
"1","52.45","616"
"1","51.75","617"
"1","51.75","618"
"1","52.45","619"
"1","52.45","620"
"1","52.45","621"
"1","52.45","622"
"1","52.45","623"
"0","52.45","624"
"1","52.45","625"
"0","52.45","626"
"0","52.45","627"
"0","52.45","628"
