symbol,entry_time,entry_price,exit_reason,bars_held,gross_r,net_r,mfe_r,mae_r,reached_025r,reached_050r,reached_100r
ADANIENT,2023-11-29T10:42:00+05:30,2326.8,STOP_LOSS,5,-2.0,-2.18,2.027198703654831,1.0225692575958734,True,True,True
ADANIENT,2023-11-29T15:10:00+05:30,2325.8,STOP_LOSS,1,-2.0,-2.18,0.0,1.3716569017914735,False,False,False
ADANIENT,2023-12-08T09:30:00+05:30,2780.4,VWAP_Z_TARGET,6,3.9765107272059916,3.7965107272059915,1.9882553636029958,0.33263587832142405,True,True,True
ADANIENT,2023-12-08T10:46:00+05:30,2787.9,STOP_LOSS,5,-2.0,-2.18,1.2716358726783947,1.0870435685799873,True,True,True
ADANIENT,2023-12-08T11:08:00+05:30,2733.0,TIME_HORIZON,40,5.415317739098913,5.235317739098913,3.1839245990467657,0.5997420297373585,True,True,True
ADANIENT,2023-12-08T12:36:00+05:30,2723.1,STOP_LOSS,11,-2.0,-2.18,1.573255463837537,1.0991236802152187,True,True,True
ADANIENT,2023-12-13T10:30:00+05:30,2753.3,STOP_LOSS,2,-2.0,-2.18,0.4300260671228069,2.607033031932238,True,False,False
ADANIENT,2023-12-13T11:44:00+05:30,2736.4,STOP_LOSS,24,-2.0,-2.18,2.114241177299841,2.4893484829499477,True,True,True
ADANIENT,2023-12-19T09:32:00+05:30,2875.8,STOP_LOSS,5,-2.0,-2.18,0.2450387170869872,1.6102544265717211,False,False,False
ADANIENT,2023-12-20T12:34:00+05:30,2844.7,STOP_LOSS,8,-2.0,-2.18,1.5144072219506715,1.8277328540783393,True,True,True
ADANIENT,2023-12-20T13:08:00+05:30,2823.2,STOP_LOSS,1,-2.0,-2.18,0.038149092328805624,2.784883739998994,False,False,False
ADANIENT,2023-12-20T13:36:00+05:30,2728.8,TIME_HORIZON,40,1.9326837758479496,1.7526837758479497,3.3089888889517924,0.4392463126927158,True,True,True
ADANIENT,2023-12-27T13:05:00+05:30,2755.9,STOP_LOSS,3,-2.0,-2.18,0.770149935417824,1.591643199863573,True,True,False
