symbol,decision_timestamp,slippage_pct,range_atr,volume_ratio,vwap_range_deviation
ADANIENT,2024-08-01T03:53:00+00:00,0.029327,1.3364779874213857,1.0411122595089053,1.307345498495338
ADANIENT,2024-08-01T04:24:00+00:00,0.0,0.42662116040955533,0.5508131733698787,1.233488257298268
ADANIENT,2024-08-01T04:37:00+00:00,0.006462,0.39891205802362084,0.20226892973353267,2.815664426600777
ADANIENT,2024-08-01T05:38:00+00:00,0.04202,0.7197382769901273,0.40217740824107673,1.3106202156376978
ADANIENT,2024-08-01T06:39:00+00:00,0.0,1.2154696132596845,1.5031146830791293,4.3944868143547655
ADANIENT,2024-08-01T07:13:00+00:00,0.035652,1.796116504854389,2.8391229259121613,0.17984823366464692
ADANIENT,2024-08-01T07:36:00+00:00,0.022541,2.108768035516106,10.538501291989665,1.779622945085066
ADANIENT,2024-08-01T08:28:00+00:00,0.019192,1.3190184049079743,0.4899876129365559,2.2097583538394736
ADANIENT,2024-08-01T09:24:00+00:00,0.048082,2.011225444340499,2.3372653532625653,0.2768801843891028
ADANIENT,2024-08-01T09:27:00+00:00,0.0,1.618451915559018,1.7218146540325479,0.6041842490267441
ADANIENT,2024-08-01T09:35:00+00:00,0.02883,0.8256567724326122,0.7278999568779646,0.7308881821074504
ADANIENT,2024-08-02T03:45:00+00:00,0.064859,3.824413710162406,2.279045832683801,0.0
ADANIENT,2024-08-02T03:49:00+00:00,0.051703,1.011517275913865,1.027439653393852,0.45058503104037073
ADANIENT,2024-08-02T04:10:00+00:00,0.032754,1.4424242424242575,2.3200399976471973,2.4068010517460983
ADANIENT,2024-08-02T05:08:00+00:00,0.009752,2.3574144486692026,2.5390653128825518,1.2286284263056437
ADANIENT,2024-08-02T05:42:00+00:00,0.0,1.393188854489166,2.6290906480427445,3.5449539552900102
ADANIENT,2024-08-02T06:43:00+00:00,0.035517,0.5059920106524729,3.2827180179075186,12.646771398571522
ADANIENT,2024-08-02T07:44:00+00:00,0.0,0.604982206405793,0.2021592864966359,12.505053196909342
ADANIENT,2024-08-02T08:45:00+00:00,0.0,0.6909788867563211,0.2603271084096453,3.960954164573654
ADANIENT,2024-08-02T09:46:00+00:00,0.0,1.1805555555555332,0.8439260413446799,2.657423304363458
ADANIENT,2024-08-05T03:45:00+00:00,0.122257,6.069946650859537,5.034897425141327,0.0
ADANIENT,2024-08-05T03:54:00+00:00,0.03021,1.1549646863315373,1.0350422202829435,2.224582912182667
ADANIENT,2024-08-05T04:07:00+00:00,0.046479,1.1536728255970907,0.6796973079635327,0.8975566597124831
ADANIENT,2024-08-05T05:08:00+00:00,0.0,1.128084606345419,2.173095196540423,1.496332529582948
ADANIENT,2024-08-05T05:51:00+00:00,0.0,1.1357340720221312,1.1162661164243532,6.254176873143417
ADANIENT,2024-08-05T06:52:00+00:00,0.0,0.5166051660516054,0.4802156390662619,12.289971127954422
ADANIENT,2024-08-05T07:53:00+00:00,0.0,0.8403361344537751,0.34400446179587285,6.7287211439457675
ADANIENT,2024-08-05T08:54:00+00:00,0.013554,1.2466843501325988,1.0687290578976079,4.535828700730779
ADANIENT,2024-08-05T09:55:00+00:00,0.033999,1.4398200224971922,1.0560252918398563,4.401992664124572
ADANIENT,2024-08-06T03:45:00+00:00,0.033294,4.862216778934491,4.125284992732381,0.0
ADANIENT,2024-08-06T04:33:00+00:00,0.016461,1.580547112462053,2.4001301650407827,3.654809744590468
ADANIENT,2024-08-06T05:34:00+00:00,0.0,0.5053449951408999,0.14862182589735318,3.6758557021724605
ADANIENT,2024-08-06T06:35:00+00:00,0.0,0.8668730650154088,0.42082623891029663,4.49905344723475
ADANIENT,2024-08-06T07:36:00+00:00,0.0,0.6462585034013795,1.8782861821158918,8.99312793190376
ADANIENT,2024-08-06T08:37:00+00:00,0.0,1.4046822742474407,0.868718348266459,1.9436376553461399
ADANIENT,2024-08-06T09:38:00+00:00,0.0,0.47169811320755123,0.6965014639567437,14.273731497211338
ADANIENT,2024-08-07T03:45:00+00:00,0.029678,4.059962523422863,3.9791043443318306,0.0
ADANIENT,2024-08-07T04:46:00+00:00,0.0,1.1752786220870635,1.2330056598153112,1.4303780706385794
ADANIENT,2024-08-07T05:20:00+00:00,0.0,0.7932011331444048,0.38850266889227214,4.512431709197359
ADANIENT,2024-08-07T06:28:00+00:00,0.0,1.6133942161338748,5.016706004965822,5.206149751496899
ADANIENT,2024-08-07T07:04:00+00:00,0.0,1.2017167381972866,0.36118485398910155,3.7690043834097424
ADANIENT,2024-08-07T08:05:00+00:00,0.0,1.3000000000000205,0.3299220452950087,1.3432129047725971
ADANIENT,2024-08-07T08:48:00+00:00,0.042103,3.1716417910448085,5.80531729187336,3.8012920541580515
ADANIENT,2024-08-08T03:59:00+00:00,0.0,1.0814927646610735,0.4040887463756845,1.0761742542870485
ADANIENT,2024-08-08T05:00:00+00:00,0.0,0.5561072492551603,0.1838573780096532,1.6599050766036978
ADANIENT,2024-08-08T05:27:00+00:00,0.003218,1.140939597315388,0.6732212207478013,1.7830513335058473
ADANIENT,2024-08-08T06:28:00+00:00,0.028956,1.3486370157819956,1.9642322454201486,2.2605870771071115
ADANIENT,2024-08-08T07:19:00+00:00,0.0,0.8108108108108389,0.29087320585850096,5.577298352851135
ADANIENT,2024-08-08T07:57:00+00:00,0.0,1.8224299065421004,2.3230915890591772,1.5455904622571057
ADANIENT,2024-08-08T08:58:00+00:00,0.025939,0.5561277033985265,0.731460023174971,7.1368310813428275
ADANIENT,2024-08-09T03:45:00+00:00,0.012857,2.311643835616435,1.292986713502353,0.0
ADANIENT,2024-08-09T04:46:00+00:00,0.0,0.8646188850966601,0.4968774528205303,3.6134174977235833
ADANIENT,2024-08-09T05:47:00+00:00,0.009733,0.9417040358743815,0.47607712449416806,7.971807546984606
ADANIENT,2024-08-09T06:48:00+00:00,0.0,1.0526315789474232,0.6420059775647246,5.406517153262946
ADANIENT,2024-08-09T07:49:00+00:00,0.0,1.1864406779660137,0.7642772411455685,1.475162949065908
ADANIENT,2024-08-09T08:50:00+00:00,0.0,0.507246376811633,0.27207358942799764,1.3671452366165557
ADANIENT,2024-08-09T09:51:00+00:00,0.0,1.3519813519813915,0.6328598517898067,2.166327670177792
ADANIENT,2024-08-12T03:45:00+00:00,0.12665,6.430976430976474,17.65073120785703,0.0
ADANIENT,2024-08-12T03:47:00+00:00,0.0,3.319082782743915,4.765135096626146,0.7149269279221734
ADANIENT,2024-08-12T03:50:00+00:00,0.010047,2.053340980785772,1.971313233745466,0.21310234921345908
ADANIENT,2024-08-12T03:57:00+00:00,0.268247,1.55323932147967,1.461344798883926,0.8962452632764134
ADANIENT,2024-08-12T04:13:00+00:00,0.037003,0.8707964601770041,1.1158137642104784,1.1036529824292227
ADANIENT,2024-08-12T04:50:00+00:00,0.046505,1.874665238350292,2.6594491886299876,1.9159351506223694
ADANIENT,2024-08-12T05:27:00+00:00,0.036055,1.7571428571428296,1.429709505789968,5.572660080350275
ADANIENT,2024-08-12T06:50:00+00:00,0.04935,1.1624834874504892,1.6229751715356866,10.750627260813609
ADANIENT,2024-08-12T07:51:00+00:00,0.049677,1.0679611650485763,0.9714029082611123,5.602618386228422
