run_id,symbol,bar_index,decision_timestamp,fill_timestamp,decision_date,fill_date,decision_close,next_open,slippage_pct,is_session_gap,gap_type
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,9,2024-08-01 03:53:00+00:00,2024-08-01 03:54:00+00:00,2024-08-01,2024-08-01,3068.8,3069.7,0.029327,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,40,2024-08-01 04:24:00+00:00,2024-08-01 04:25:00+00:00,2024-08-01,2024-08-01,3088.8,3088.8,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,53,2024-08-01 04:37:00+00:00,2024-08-01 04:38:00+00:00,2024-08-01,2024-08-01,3095.0,3095.2,0.006462,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,114,2024-08-01 05:38:00+00:00,2024-08-01 05:39:00+00:00,2024-08-01,2024-08-01,3093.8,3092.5,0.04202,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,175,2024-08-01 06:39:00+00:00,2024-08-01 06:40:00+00:00,2024-08-01,2024-08-01,3069.6,3069.6,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,209,2024-08-01 07:13:00+00:00,2024-08-01 07:14:00+00:00,2024-08-01,2024-08-01,3085.4,3086.5,0.035652,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,232,2024-08-01 07:36:00+00:00,2024-08-01 07:37:00+00:00,2024-08-01,2024-08-01,3105.5,3106.2,0.022541,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,284,2024-08-01 08:28:00+00:00,2024-08-01 08:29:00+00:00,2024-08-01,2024-08-01,3126.3,3126.9,0.019192,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,340,2024-08-01 09:24:00+00:00,2024-08-01 09:25:00+00:00,2024-08-01,2024-08-01,3119.7,3121.2,0.048082,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,343,2024-08-01 09:27:00+00:00,2024-08-01 09:28:00+00:00,2024-08-01,2024-08-01,3100.9,3100.9,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,351,2024-08-01 09:35:00+00:00,2024-08-01 09:36:00+00:00,2024-08-01,2024-08-01,3121.7,3120.8,0.02883,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,376,2024-08-02 03:45:00+00:00,2024-08-02 03:46:00+00:00,2024-08-02,2024-08-02,3083.6,3085.6,0.064859,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,380,2024-08-02 03:49:00+00:00,2024-08-02 03:50:00+00:00,2024-08-02,2024-08-02,3094.6,3096.2,0.051703,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,401,2024-08-02 04:10:00+00:00,2024-08-02 04:11:00+00:00,2024-08-02,2024-08-02,3053.1,3052.1,0.032754,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,459,2024-08-02 05:08:00+00:00,2024-08-02 05:09:00+00:00,2024-08-02,2024-08-02,3076.2,3076.5,0.009752,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,493,2024-08-02 05:42:00+00:00,2024-08-02 05:43:00+00:00,2024-08-02,2024-08-02,3097.8,3097.8,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,554,2024-08-02 06:43:00+00:00,2024-08-02 06:44:00+00:00,2024-08-02,2024-08-02,3097.1,3098.2,0.035517,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,615,2024-08-02 07:44:00+00:00,2024-08-02 07:45:00+00:00,2024-08-02,2024-08-02,3097.7,3097.7,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,676,2024-08-02 08:45:00+00:00,2024-08-02 08:46:00+00:00,2024-08-02,2024-08-02,3085.4,3085.4,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,737,2024-08-02 09:46:00+00:00,2024-08-02 09:47:00+00:00,2024-08-02,2024-08-02,3064.0,3064.0,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,751,2024-08-05 03:45:00+00:00,2024-08-05 03:46:00+00:00,2024-08-05,2024-08-05,3026.4,3022.7,0.122257,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,760,2024-08-05 03:54:00+00:00,2024-08-05 03:55:00+00:00,2024-08-05,2024-08-05,2979.1,2978.2,0.03021,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,773,2024-08-05 04:07:00+00:00,2024-08-05 04:08:00+00:00,2024-08-05,2024-08-05,3012.1,3013.5,0.046479,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,834,2024-08-05 05:08:00+00:00,2024-08-05 05:09:00+00:00,2024-08-05,2024-08-05,2999.6,2999.6,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,877,2024-08-05 05:51:00+00:00,2024-08-05 05:52:00+00:00,2024-08-05,2024-08-05,2944.1,2944.1,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,938,2024-08-05 06:52:00+00:00,2024-08-05 06:53:00+00:00,2024-08-05,2024-08-05,2949.8,2949.8,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,999,2024-08-05 07:53:00+00:00,2024-08-05 07:54:00+00:00,2024-08-05,2024-08-05,2940.5,2940.5,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1060,2024-08-05 08:54:00+00:00,2024-08-05 08:55:00+00:00,2024-08-05,2024-08-05,2951.1,2951.5,0.013554,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1121,2024-08-05 09:55:00+00:00,2024-08-05 09:56:00+00:00,2024-08-05,2024-08-05,2941.3,2942.3,0.033999,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1126,2024-08-06 03:45:00+00:00,2024-08-06 03:46:00+00:00,2024-08-06,2024-08-06,3003.5,3004.5,0.033294,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1174,2024-08-06 04:33:00+00:00,2024-08-06 04:34:00+00:00,2024-08-06,2024-08-06,3037.5,3037.0,0.016461,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1235,2024-08-06 05:34:00+00:00,2024-08-06 05:35:00+00:00,2024-08-06,2024-08-06,3024.6,3024.6,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1296,2024-08-06 06:35:00+00:00,2024-08-06 06:36:00+00:00,2024-08-06,2024-08-06,3029.6,3029.6,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1357,2024-08-06 07:36:00+00:00,2024-08-06 07:37:00+00:00,2024-08-06,2024-08-06,3038.4,3038.4,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1418,2024-08-06 08:37:00+00:00,2024-08-06 08:38:00+00:00,2024-08-06,2024-08-06,3008.7,3008.7,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1479,2024-08-06 09:38:00+00:00,2024-08-06 09:39:00+00:00,2024-08-06,2024-08-06,2980.4,2980.4,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1501,2024-08-07 03:45:00+00:00,2024-08-07 03:46:00+00:00,2024-08-07,2024-08-07,3032.6,3033.5,0.029678,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1562,2024-08-07 04:46:00+00:00,2024-08-07 04:47:00+00:00,2024-08-07,2024-08-07,3041.8,3041.8,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1596,2024-08-07 05:20:00+00:00,2024-08-07 05:21:00+00:00,2024-08-07,2024-08-07,3056.3,3056.3,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1664,2024-08-07 06:28:00+00:00,2024-08-07 06:29:00+00:00,2024-08-07,2024-08-07,3074.6,3074.6,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1700,2024-08-07 07:04:00+00:00,2024-08-07 07:05:00+00:00,2024-08-07,2024-08-07,3060.5,3060.5,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1761,2024-08-07 08:05:00+00:00,2024-08-07 08:06:00+00:00,2024-08-07,2024-08-07,3059.0,3059.0,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1804,2024-08-07 08:48:00+00:00,2024-08-07 08:49:00+00:00,2024-08-07,2024-08-07,3087.7,3086.4,0.042103,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1890,2024-08-08 03:59:00+00:00,2024-08-08 04:00:00+00:00,2024-08-08,2024-08-08,3087.0,3087.0,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1951,2024-08-08 05:00:00+00:00,2024-08-08 05:01:00+00:00,2024-08-08,2024-08-08,3092.5,3092.5,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,1978,2024-08-08 05:27:00+00:00,2024-08-08 05:28:00+00:00,2024-08-08,2024-08-08,3107.8,3107.9,0.003218,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2039,2024-08-08 06:28:00+00:00,2024-08-08 06:29:00+00:00,2024-08-08,2024-08-08,3108.2,3107.3,0.028956,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2090,2024-08-08 07:19:00+00:00,2024-08-08 07:20:00+00:00,2024-08-08,2024-08-08,3125.9,3125.9,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2128,2024-08-08 07:57:00+00:00,2024-08-08 07:58:00+00:00,2024-08-08,2024-08-08,3092.7,3092.7,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2189,2024-08-08 08:58:00+00:00,2024-08-08 08:59:00+00:00,2024-08-08,2024-08-08,3084.1,3084.9,0.025939,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2250,2024-08-08 09:59:00+00:00,2024-08-09 03:45:00+00:00,2024-08-08,2024-08-09,3075.7,3111.1,1.150958,True,session
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2252,2024-08-09 03:46:00+00:00,2024-08-09 03:47:00+00:00,2024-08-09,2024-08-09,3111.1,3112.9,0.057857,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2313,2024-08-09 04:47:00+00:00,2024-08-09 04:48:00+00:00,2024-08-09,2024-08-09,3085.9,3087.0,0.035646,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2374,2024-08-09 05:48:00+00:00,2024-08-09 05:49:00+00:00,2024-08-09,2024-08-09,3080.9,3080.9,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2435,2024-08-09 06:49:00+00:00,2024-08-09 06:50:00+00:00,2024-08-09,2024-08-09,3084.4,3084.4,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2496,2024-08-09 07:50:00+00:00,2024-08-09 07:51:00+00:00,2024-08-09,2024-08-09,3092.1,3090.9,0.038809,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2557,2024-08-09 08:51:00+00:00,2024-08-09 08:52:00+00:00,2024-08-09,2024-08-09,3098.0,3098.2,0.006456,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2618,2024-08-09 09:52:00+00:00,2024-08-09 09:53:00+00:00,2024-08-09,2024-08-09,3087.8,3087.8,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2626,2024-08-12 03:45:00+00:00,2024-08-12 03:46:00+00:00,2024-08-12,2024-08-12,3000.4,2996.6,0.12665,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2628,2024-08-12 03:47:00+00:00,2024-08-12 03:48:00+00:00,2024-08-12,2024-08-12,2950.2,2950.2,0.0,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2631,2024-08-12 03:50:00+00:00,2024-08-12 03:51:00+00:00,2024-08-12,2024-08-12,2986.0,2985.7,0.010047,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2638,2024-08-12 03:57:00+00:00,2024-08-12 03:58:00+00:00,2024-08-12,2024-08-12,3019.6,3011.5,0.268247,False,intraday
slippage-20260908T120131-a47b2a2fb05c,ADANIENT,2654,2024-08-12 04:13:00+00:00,2024-08-12 04:14:00+00:00,2024-08-12,2024-08-12,2972.7,2973.8,0.037003,False,intraday
