trade_id,symbol,side,direction,entry_timestamp,exit_timestamp,entry_price,exit_price,quantity,entry_cost,exit_cost,gross_pnl,net_pnl,exit_reason,same_session,total_cost,cost_to_gross_ratio,entry_ist,exit_ist,entry_hour_ist,hold_minutes
8_HCLTECH_exit,HCLTECH,SHORT,-1,2023-10-03T03:47:00+00:00,2023-10-03T03:53:00+00:00,1223.9,1232.3772964769344,3,2.1461086500000004,1.2366906170146037,-25.431889430802812,-28.814688697817417,STOP_HIT,True,3.382799267014604,0.13301407574214272,2023-10-03T09:17:00+05:30,2023-10-03T09:23:00+05:30,9,6.0
18_COALINDIA_exit,COALINDIA,SHORT,-1,2023-10-03T03:47:00+00:00,2023-10-03T04:03:00+00:00,273.65,270.27573529034953,16,2.5591748,1.4465157352739504,53.98823535440715,49.9825448191332,TARGET_HIT,True,4.005690535273951,0.07419561889694103,2023-10-03T09:17:00+05:30,2023-10-03T09:33:00+05:30,9,16.0
62_TCS_exit,TCS,SHORT,-1,2023-10-03T03:47:00+00:00,2023-10-03T04:47:00+00:00,3510.0,3489.7,1,2.051595,1.1673046499999997,20.300000000000182,17.081100350000185,TIME_EXIT,True,3.2188996499999996,0.15856648522167344,2023-10-03T09:17:00+05:30,2023-10-03T10:17:00+05:30,9,60.0
24_SHRIRAMFIN_exit,SHRIRAMFIN,SHORT,-1,2023-10-03T03:49:00+00:00,2023-10-03T04:09:00+00:00,383.1,385.1436040657381,13,2.91098535,1.674796962279862,-26.566852854594856,-31.15263516687472,STOP_HIT,True,4.5857823122798616,0.1726129300063756,2023-10-03T09:19:00+05:30,2023-10-03T09:39:00+05:30,9,20.0
64_INFY_exit,INFY,SHORT,-1,2023-10-03T03:49:00+00:00,2023-10-03T04:49:00+00:00,1401.4,1398.0,3,2.4573549000000003,1.402893,10.200000000000273,6.339752100000273,TIME_EXIT,True,3.8602479,0.3784556764705781,2023-10-03T09:19:00+05:30,2023-10-03T10:19:00+05:30,9,60.0
26_EICHERMOT_exit,EICHERMOT,SHORT,-1,2023-10-03T03:54:00+00:00,2023-10-03T04:11:00+00:00,3312.0,3329.7310944775436,1,1.935864,1.1137950511027384,-17.731094477543593,-20.78075352864633,STOP_HIT,True,3.049659051102738,0.1719949693441162,2023-10-03T09:24:00+05:30,2023-10-03T09:41:00+05:30,9,17.0
79_M&M_exit,M&M,SHORT,-1,2023-10-03T04:04:00+00:00,2023-10-03T05:04:00+00:00,1562.7,1553.5,3,2.74019445,1.5589372499999998,27.600000000000136,23.300868300000136,TIME_EXIT,True,4.2991317,0.15576564130434706,2023-10-03T09:34:00+05:30,2023-10-03T10:34:00+05:30,9,60.0
72_COALINDIA_exit,COALINDIA,SHORT,-1,2023-10-03T04:10:00+00:00,2023-10-03T04:57:00+00:00,270.85,272.2089161093675,19,3.007924675,1.730023766333085,-25.819406077982478,-30.55735451931556,STOP_HIT,True,4.737948441333085,0.18350338605865046,2023-10-03T09:40:00+05:30,2023-10-03T10:27:00+05:30,9,47.0
91_ASIANPAINT_exit,ASIANPAINT,SHORT,-1,2023-10-03T04:16:00+00:00,2023-10-03T05:16:00+00:00,3192.0,3181.0,1,1.865724,1.0640444999999998,11.0,8.0702315,TIME_EXIT,True,2.9297684999999998,0.2663425909090909,2023-10-03T09:46:00+05:30,2023-10-03T10:46:00+05:30,9,60.0
125_DRREDDY_exit,DRREDDY,SHORT,-1,2023-10-03T04:50:00+00:00,2023-10-03T05:50:00+00:00,1102.6,1099.4,4,2.5778787999999997,1.4709972,12.799999999999272,8.751123999999272,TIME_EXIT,True,4.048876,0.316318437500018,2023-10-03T10:20:00+05:30,2023-10-03T11:20:00+05:30,10,60.0
125_TCS_exit,TCS,SHORT,-1,2023-10-03T04:50:00+00:00,2023-10-03T05:50:00+00:00,3493.95,3501.85,1,2.0422137749999996,1.1713688249999998,-7.900000000000091,-11.113582600000091,TIME_EXIT,True,3.2135825999999996,0.40678260759493196,2023-10-03T10:20:00+05:30,2023-10-03T11:20:00+05:30,10,60.0
134_COALINDIA_exit,COALINDIA,SHORT,-1,2023-10-03T04:59:00+00:00,2023-10-03T05:59:00+00:00,272.15,271.7,19,3.0223618249999995,1.7267893499999998,8.549999999999784,3.800848824999785,TIME_EXIT,True,4.749151175,0.5554562777777918,2023-10-03T10:29:00+05:30,2023-10-03T11:29:00+05:30,10,60.0
140_M&M_exit,M&M,SHORT,-1,2023-10-03T05:05:00+00:00,2023-10-03T06:05:00+00:00,1553.5,1539.5,3,2.72406225,1.5448882499999999,42.0,37.7310495,TIME_EXIT,True,4.2689505,0.10164167857142857,2023-10-03T10:35:00+05:30,2023-10-03T11:35:00+05:30,10,60.0
153_ETERNAL_exit,ETERNAL,LONG,1,2023-10-03T05:18:00+00:00,2023-10-03T06:18:00+00:00,103.1,103.7,51,1.7588344499999997,3.0912451499999998,30.600000000000435,25.749920400000438,TIME_EXIT,True,4.850079599999999,0.15849933333333105,2023-10-03T10:48:00+05:30,2023-10-03T11:48:00+05:30,10,60.0
