trade_id,symbol,side,direction,entry_timestamp,exit_timestamp,entry_price,exit_price,quantity,entry_cost,exit_cost,gross_pnl,net_pnl,exit_reason,same_session,total_cost,cost_to_gross_ratio,entry_ist,exit_ist,entry_hour_ist,hold_minutes
4_HCLTECH_exit,HCLTECH,SHORT,-1,2023-10-03T03:47:00+00:00,2023-10-03T03:49:00+00:00,1223.9,1229.5311067719747,3,2.1461086500000004,1.2338344656456763,-16.893320315923802,-20.27326343156948,STOP_HIT,True,3.379943115645677,0.20007571350314782,2023-10-03T09:17:00+05:30,2023-10-03T09:19:00+05:30,9,2.0
4_TCS_exit,TCS,SHORT,-1,2023-10-03T03:47:00+00:00,2023-10-03T03:49:00+00:00,3510.0,3522.7586985330254,1,2.051595,1.178362784659297,-12.758698533025381,-15.988656317684677,STOP_HIT,True,3.229957784659297,0.25315730881944426,2023-10-03T09:17:00+05:30,2023-10-03T09:19:00+05:30,9,2.0
17_COALINDIA_exit,COALINDIA,SHORT,-1,2023-10-03T03:47:00+00:00,2023-10-03T04:02:00+00:00,273.65,271.1389591063555,16,2.5591748,1.4511357091372146,40.176654298311405,36.16634378917419,TARGET_HIT,True,4.010310509137215,0.0998169354610935,2023-10-03T09:17:00+05:30,2023-10-03T09:32:00+05:30,9,15.0
6_SHRIRAMFIN_exit,SHRIRAMFIN,SHORT,-1,2023-10-03T03:49:00+00:00,2023-10-03T03:51:00+00:00,383.1,384.42130653574446,13,2.91098535,1.6716560514706849,-17.17698496467773,-21.759626366148414,STOP_HIT,True,4.582641401470685,0.2667896264038363,2023-10-03T09:19:00+05:30,2023-10-03T09:21:00+05:30,9,2.0
64_INFY_exit,INFY,SHORT,-1,2023-10-03T03:49:00+00:00,2023-10-03T04:49:00+00:00,1401.4,1398.0,3,2.4573549000000003,1.402893,10.200000000000273,6.339752100000273,TIME_EXIT,True,3.8602479,0.3784556764705781,2023-10-03T09:19:00+05:30,2023-10-03T10:19:00+05:30,9,60.0
18_EICHERMOT_exit,EICHERMOT,SHORT,-1,2023-10-03T03:54:00+00:00,2023-10-03T04:03:00+00:00,3312.0,3323.561421792604,1,1.935864,1.111731295589626,-11.561421792604051,-14.609017088193678,STOP_HIT,True,3.047595295589626,0.263600390182045,2023-10-03T09:24:00+05:30,2023-10-03T09:33:00+05:30,9,9.0
69_M&M_exit,M&M,SHORT,-1,2023-10-03T03:54:00+00:00,2023-10-03T04:54:00+00:00,1561.35,1550.55,3,2.7378272249999993,1.5559769249999997,32.399999999999864,28.106195849999864,TIME_EXIT,True,4.293804149999999,0.13252481944444497,2023-10-03T09:24:00+05:30,2023-10-03T10:24:00+05:30,9,60.0
69_SBIN_exit,SBIN,SHORT,-1,2023-10-03T03:54:00+00:00,2023-10-03T04:54:00+00:00,593.25,593.55,8,2.774037,1.5883397999999997,-2.399999999999636,-6.762376799999636,TIME_EXIT,True,4.3623768,1.8176570000002754,2023-10-03T09:24:00+05:30,2023-10-03T10:24:00+05:30,9,60.0
24_ETERNAL_exit,ETERNAL,SHORT,-1,2023-10-03T04:03:00+00:00,2023-10-03T04:09:00+00:00,100.15,100.43002568889162,52,3.0439591,1.7468798668325805,-14.561335822363844,-19.35217478919642,STOP_HIT,True,4.79083896683258,0.32901095237942596,2023-10-03T09:33:00+05:30,2023-10-03T09:39:00+05:30,9,6.0
26_EICHERMOT_exit,EICHERMOT,SHORT,-1,2023-10-03T04:04:00+00:00,2023-10-03T04:11:00+00:00,3325.0,3334.7061907922475,1,1.9434625,1.1154592208200067,-9.706190792247526,-12.765112513067534,STOP_HIT,True,3.058921720820007,0.31515161676640563,2023-10-03T09:34:00+05:30,2023-10-03T09:41:00+05:30,9,7.0
56_COALINDIA_exit,COALINDIA,SHORT,-1,2023-10-03T04:10:00+00:00,2023-10-03T04:41:00+00:00,270.85,271.69196471096336,19,3.007924675,1.7267382817205275,-15.997329508303437,-20.731992465023964,STOP_HIT,True,4.734662956720527,0.2959658331887827,2023-10-03T09:40:00+05:30,2023-10-03T10:11:00+05:30,9,31.0
