finalist,trade_id,symbol,exit_reason,net_pnl,entry_hour_ist,hold_minutes,range_atr,volume_ratio,signed_move5_atr,signed_vwap_gap_atr
1,106_ADANIENT_exit,ADANIENT,TARGET_HIT,39.698453994869155,10,12.0,1.3333333333333113,3.89720654006892,5.478787878787766,5.193056511407532
1,118_ADANIENT_exit,ADANIENT,TARGET_HIT,38.623934969004466,11,11.0,1.9305019305019102,2.9912759067779495,2.254826254826217,5.76714458981626
1,90_ADANIENT_exit,ADANIENT,TIME_EXIT,-4.635160899999818,9,60.0,1.0381184103811898,0.43477301642165334,0.519059205190558,1.6634416000411119
2,88_ADANIENT_exit,ADANIENT,TIME_EXIT,-2.8197695000003637,9,60.0,0.4874213836478514,0.2671792074664727,0.990566037735797,1.202305371547479
2,321_ADANIPORTS_exit,ADANIPORTS,TIME_EXIT,-7.538223625,13,60.0,2.475247524752442,2.495503199363076,2.8712871287126975,-1.0204749571544467
2,eod_flatten_ADANIPORTS_1125,ADANIPORTS,EOD_FLATTENING,-7.041962124999886,14,51.0,2.616033755274205,3.370769654068386,1.9409282700421706,0.30705573132288055
2,62_ADANIPORTS_exit,ADANIPORTS,TIME_EXIT,14.176318250000111,9,60.0,1.3121272365804941,0.4676868496995049,3.180914512922454,-0.84361031965171
2,123_ADANIPORTS_exit,ADANIPORTS,TIME_EXIT,-13.323001250000454,10,60.0,0.4562737642584789,0.23866029347862422,-0.9125475285169578,0.3286983267628495
1,91_ASIANPAINT_exit,ASIANPAINT,TIME_EXIT,8.0702315,9,60.0,0.5882352941176211,0.21204207431495598,0.967982129560687,1.3237543598385455
1,106_ASIANPAINT_exit,ASIANPAINT,STOP_HIT,-13.301040732673316,10,10.0,0.4232804232803605,0.5336062278425496,0.8818342151675512,6.213619711617992
1,167_ASIANPAINT_exit,ASIANPAINT,TIME_EXIT,-5.93330275,11,60.0,2.1290322580644867,6.125093446299526,-1.5645161290322287,1.3010394532093708
1,359_ASIANPAINT_exit,ASIANPAINT,TIME_EXIT,4.884646250000182,14,60.0,0.7364975450081789,0.5536885245901639,1.6366612111292864,6.458089181070825
1,eod_flatten_ASIANPAINT_375,ASIANPAINT,EOD_FLATTENING,-3.510581799999909,15,14.0,0.47846889952152555,0.9432224425121376,-0.5422647527910043,14.65174623425426
1,3_ASIANPAINT_exit,ASIANPAINT,STOP_HIT,-13.76373594846099,9,2.0,4.6826758147513035,1.75760782726886,2.435677530017114,-0.0
1,108_ASIANPAINT_exit,ASIANPAINT,TIME_EXIT,-10.658608225000002,10,60.0,1.1524822695035442,1.3772019946375322,1.0460992907800757,2.6022244110579553
1,120_ASIANPAINT_exit,ASIANPAINT,STOP_HIT,-13.60000749520122,11,10.0,0.30898876404503495,0.634080348214811,-0.4494382022472771,0.47200319004713936
1,eod_flatten_ASIANPAINT_1125,ASIANPAINT,EOD_FLATTENING,1.9045271749999093,15,17.0,0.7845934379457927,1.4112912093954124,-0.556348074179692,-2.4359428252886834
1,2_ASIANPAINT_exit,ASIANPAINT,STOP_HIT,-13.401933162549062,9,1.0,4.32369942196523,2.2490151605586726,1.8497109826589402,-0.0
2,91_ASIANPAINT_exit,ASIANPAINT,TIME_EXIT,8.0702315,9,60.0,0.5882352941176211,0.21204207431495598,0.967982129560687,1.3237543598385455
2,341_ASIANPAINT_exit,ASIANPAINT,TIME_EXIT,19.024215925000274,13,60.0,1.4237288135593777,0.4859242940964647,1.4011299435027982,1.3708176624620643
2,eod_flatten_ASIANPAINT_375,ASIANPAINT,EOD_FLATTENING,-0.7122184000001814,14,32.0,0.172166427546731,1.0787952826199314,0.2582496413200965,12.57347531611617
2,4_ASIANPAINT_exit,ASIANPAINT,STOP_HIT,-19.85620972281353,9,3.0,4.6826758147513035,1.75760782726886,2.435677530017114,-0.0
2,13_ASIANPAINT_exit,ASIANPAINT,STOP_HIT,-19.42846804351285,9,12.0,4.32369942196523,2.2490151605586726,1.8497109826589402,-0.0
1,3_AXISBANK_exit,AXISBANK,STOP_HIT,-15.102812837458178,9,2.0,4.875283446712016,2.1220107488888855,0.9297052154194801,-0.0
1,156_AXISBANK_exit,AXISBANK,TIME_EXIT,1.3216288999999999,10,60.0,1.7582417582418117,1.7656489928642398,2.967032967033065,6.224444460187772
1,228_AXISBANK_exit,AXISBANK,TIME_EXIT,-0.4936771999997269,12,60.0,1.0399999999999447,2.66948458592964,3.9999999999999276,13.131459941809352
1,291_AXISBANK_exit,AXISBANK,TIME_EXIT,-3.295165199999909,13,60.0,0.3208556149732204,0.24226854520874003,-0.21390374331556133,14.852573019446105
2,eod_flatten_AXISBANK_750,AXISBANK,EOD_FLATTENING,-3.6423646000000005,15,10.0,2.116991643454015,2.3706772803919876,4.289693593314728,11.836550726359913
2,3_AXISBANK_exit,AXISBANK,STOP_HIT,-22.79637045605941,9,2.0,4.875283446712016,2.1220107488888855,0.9297052154194801,-0.0
2,66_AXISBANK_exit,AXISBANK,TIME_EXIT,-4.850853200000272,9,60.0,0.719738276990175,0.46914933071780857,-1.6575790621591941,-0.9264051691133984
2,91_AXISBANK_exit,AXISBANK,STOP_HIT,-29.456602769800313,10,24.0,0.2952029520294256,1.3072930132654481,1.6974169741697425,0.3137036517087174
2,111_BAJAJ-AUTO_exit,BAJAJ-AUTO,STOP_HIT,-30.149207509415092,10,37.0,0.7111111111111111,0.5789250399765036,0.26666666666666666,2.4563501988036376
1,12_BAJAJFINSV_exit,BAJAJFINSV,TARGET_HIT,26.922700155774123,9,6.0,2.8218966846569224,5.564072791046143,5.2120277563608495,2.4667713852289657
1,14_BAJAJFINSV_exit,BAJAJFINSV,STOP_HIT,-12.750976584975202,9,1.0,1.1624286455630335,2.9289148814606056,1.4426569797612978,2.578068868015168
1,110_BAJAJFINSV_exit,BAJAJFINSV,TARGET_HIT,25.884012812000357,10,12.0,0.6569343065694019,0.34791731989098185,1.0948905109488924,3.1505622789311887
1,112_BAJAJFINSV_exit,BAJAJFINSV,STOP_HIT,-13.578062101683189,11,1.0,2.1470245040839533,2.4142528425853897,3.8973162193699253,7.1807435028612066
1,173_BAJAJFINSV_exit,BAJAJFINSV,TIME_EXIT,19.461546400000092,11,60.0,1.0348468848996943,0.6501493400474644,-1.3727560718056915,4.024817268539488
1,234_BAJAJFINSV_exit,BAJAJFINSV,TIME_EXIT,21.040577,12,60.0,1.0556348074179307,1.4476784496721722,1.7974322396575682,9.750879103002482
2,149_BAJAJFINSV_exit,BAJAJFINSV,TIME_EXIT,18.779692249999815,10,60.0,0.8598130841122029,2.0662574387329555,2.953271028037367,2.5225689151283035
2,212_BAJAJFINSV_exit,BAJAJFINSV,TIME_EXIT,33.082044749999994,11,60.0,1.2911725955204363,1.649945216662728,0.7114624505928323,5.43220719899583
2,273_BAJAJFINSV_exit,BAJAJFINSV,TIME_EXIT,4.441549200000091,12,60.0,1.1477761836441998,0.5805137658321936,-0.6312769010042577,10.36890373142308
2,348_BAJAJFINSV_exit,BAJAJFINSV,STOP_HIT,-20.23767297210499,14,33.0,2.637362637362624,3.3891500833506982,4.219780219780258,15.667673347640282
2,eod_flatten_BAJAJFINSV_1500,BAJAJFINSV,EOD_FLATTENING,-3.49380975,15,2.0,0.8089500860585553,0.44164087241237404,1.4113597246126854,-7.247814339454138
1,298_BAJFINANCE_exit,BAJFINANCE,TIME_EXIT,8.85804875,13,60.0,1.2903225806451613,1.8461719427739631,3.225806451612903,9.629427008830751
1,eod_flatten_BAJFINANCE_375,BAJFINANCE,EOD_FLATTENING,6.34113,14,35.0,1.4285714285714286,3.633572159672467,2.142857142857143,11.509058674928383
1,319_BAJFINANCE_exit,BAJFINANCE,STOP_HIT,-16.66213160680835,14,3.0,2.2222222222222223,1.5777815641506219,7.777777777777778,-7.545899428883634
1,71_BAJFINANCE_exit,BAJFINANCE,STOP_HIT,-19.54264213647181,9,28.0,0.425531914893617,0.45580942479227005,-0.425531914893617,0.310161761694678
1,205_BAJFINANCE_exit,BAJFINANCE,TARGET_HIT,32.87375282452971,12,33.0,4.0,1.517454286392781,6.0,9.915842606984825
1,267_BAJFINANCE_exit,BAJFINANCE,TIME_EXIT,13.78160625,12,60.0,2.5,3.6654702963388837,4.0,10.08561359018654
1,365_BAJFINANCE_exit,BAJFINANCE,TIME_EXIT,3.748393750000001,14,60.0,1.6666666666666667,2.037698047162859,5.0,21.23432908205852
1,eod_flatten_BAJFINANCE_1500,BAJFINANCE,EOD_FLATTENING,-13.74827,15,7.0,0.6060606060606061,0.6137057713629909,0.0,12.84374276301192
2,207_BAJFINANCE_exit,BAJFINANCE,TARGET_HIT,45.061556288706846,12,35.0,4.0,1.517454286392781,6.0,9.915842606984825
2,268_BAJFINANCE_exit,BAJFINANCE,TIME_EXIT,11.283067500000001,12,60.0,1.4285714285714286,1.409174103659142,3.8095238095238093,9.440826883230892
1,201_BEL_exit,BEL,TIME_EXIT,4.5317775750000004,11,60.0,0.6779661016948728,0.4230079570185632,1.0169491525424055,2.610789175752347
1,225_BEL_exit,BEL,STOP_HIT,-18.153985353324014,12,23.0,0.51282051282061,0.28234244517479123,0.51282051282061,6.11302418678546
1,31_BEL_exit,BEL,STOP_HIT,-14.934778661992922,9,22.0,1.2727272727272587,5.556323778472702,4.727272727272793,1.6397812568695085
2,32_BEL_exit,BEL,STOP_HIT,-23.019258547908542,9,23.0,1.2727272727272587,5.556323778472702,4.727272727272793,1.6397812568695085
1,20_CIPLA_exit,CIPLA,STOP_HIT,-14.531837955021723,9,3.0,0.7314524555903845,1.470686043031492,1.4211076280042136,2.3176692179951086
1,113_CIPLA_exit,CIPLA,STOP_HIT,-19.93114335736536,10,30.0,0.6785137318254947,0.379083306197333,2.1001615508885267,4.579954311872153
1,129_CIPLA_exit,CIPLA,STOP_HIT,-14.955224658587804,11,15.0,1.0819672131148137,0.9811117354954871,-1.5081967213114458,0.429033019248384
2,282_CIPLA_exit,CIPLA,TIME_EXIT,-17.490815199999815,12,60.0,0.9846153846153011,1.6792826365436124,1.907692307692478,-3.7569046409261175
1,56_COALINDIA_exit,COALINDIA,STOP_HIT,-20.731992465023964,9,31.0,0.40322580645161366,0.34683156343482713,0.08064516129034106,2.828478953183517
1,79_COALINDIA_exit,COALINDIA,STOP_HIT,-21.13188507071566,10,21.0,1.2941176470588676,3.253546917970976,-1.8823529411765225,0.7388753246902409
1,131_COALINDIA_exit,COALINDIA,STOP_HIT,-20.847150490885454,11,9.0,1.348314606741355,1.4396209382456528,2.0224719101122877,5.059606495740941
1,106_COALINDIA_exit,COALINDIA,TIME_EXIT,5.489078850000205,10,60.0,0.5633802816902717,0.37403118211848174,0.5633802816902717,3.9315773274749293
1,167_COALINDIA_exit,COALINDIA,TIME_EXIT,21.83482724999983,11,60.0,1.2727272727273422,0.43100183733292197,1.090909090909121,3.521271363890889
1,193_COALINDIA_exit,COALINDIA,STOP_HIT,-17.577513659624135,12,22.0,0.21052631578951397,0.6115878465084249,-0.21052631578951397,7.752729561063517
1,199_COALINDIA_exit,COALINDIA,STOP_HIT,-17.79802010973979,12,5.0,1.2195121951219614,0.49534972607975536,-1.2195121951219614,4.227571096545824
1,227_COALINDIA_exit,COALINDIA,STOP_HIT,-18.194902460341986,12,27.0,0.46511627906987196,0.676828308930453,-2.790697674418703,0.006076154510654204
1,363_COALINDIA_exit,COALINDIA,STOP_HIT,-17.88662922067114,14,59.0,0.6936416184971471,0.50313357328031,0.46242774566485234,-3.544686696174957
1,41_COALINDIA_exit,COALINDIA,STOP_HIT,-20.41637762817978,9,26.0,0.8733624454148566,0.8097477004889841,-0.6113537117904394,0.8222862547804602
